,hero,weight
3453,NAMORITA DOPPELGANGE,243
2912,ROCK PYTHON,243
1200,MIMIC/CALVIN RANKIN,242
3868,WALTERS BILLY,242
6125,VISION DOPPELGANGER,242
3231,GREY GARGOYLE/PAUL P,242
2435,NETWORK NINA,242
1784,CATSEYE/SHARON SMITH,241
6316,RAVEN LT. JACOB,241
1311,TEMPEST/GRANNZ,241
4197,JETSTREAM/HAROUD IBN,241
704,MOJO,240
4271,UNUSCIONE,240
7,STEELE BOBBY,240
1887,ROTH ARNIE,239
6169,SPRITE,239
3155,HERCULES DOPPELGANGE,238
1579,TERRAX II/TYROS,238
382,SMASHER IV,237
3193,KENT CLARK,237
2689,MOTHER NIGHT/SUSAN S,237
1235,STONEWALL/LOUIS HAMI,236
4744,COLLECTIVE MAN,236
5503,QUEEN DIVINE JUSTICE,236
1404,BOOMSLANG/,236
3967,MOY ALYSSA,235
3549,AIREO/AEOLUS [INHUMA,235
5969,THUG,234
1905,BODYBAG,234
757,WAXWORK,234
1865,CHINA DOLL,234
4038,FERRO2,234
3973,SCATTERBRAIN,234
4236,RINGTOSS,234
5900,STERMAN ANDREA ANDI,233
2554,PALERMO VICTOR,233
2009,ZIMMER ABE,232
2867,KLEINSTOCK SVEN,231
5071,BULLSEYE II/BENJAMIN,231
4639,KLEINSTOCK HARLAN,231
1227,TYRANNUS,231
248,ADAMS NICOLE NIKKI,231
2375,ROSEN WALTER,231
312,REAPER II,230
1548,MAN-APE/M'BAKU,230
5158,PARETSKY DR. GARY,230
2672,EEL II/EDWARD LAVELL,230
1514,UNION JACK III/JOEY,229
847,D.O.A.,228
2825,MALICE IV,228
92,OZYMANDIAS,228
599,ANGAR THE SCREAMER/D,228
3160,HUMAN TORCH DOPPELGA,228
6307,CYCLONE II/PIERRE FR,228
1850,RASPUTIN MIKHAIL,227
2707,POUNDCAKES/MARIAN PO,227
1915,PALERMO HARRIET ROS,227
3906,COLE WADE,227
2477,KRONOS,226
180,CLOUD,226
5472,TIMESLIP/RINA PATEL,226
4797,JACK O'LANTERN II/MA,226
1614,GAIA,225
976,TUSK,225
4881,COLLINS DEMITRIUS,224
20,TIMBERIUS,224
6318,JACKSON ANDREW JOCK,223
4767,MOON KNIGHT DOPPELGA,223
5879,LIVING MONOLITH/AHME,223
1377,MALEKITH/MALCOLM KEI,223
3423,VALINOR,223
6372,BROTHERS GRIMM II/BA,223
1375,YIN ANGELA,223
1625,PARIS,222
2952,FIELSTEIN FIREWORKS,222
83,BIG MAN/FREDERICK FO,222
4769,CHANG IMEI,221
1903,WOO JIMMY,221
5555,AJAX,221
4190,BLACK KNIGHT IV/PROF,220
792,GLADIATOR/MELVIN POT,220
3303,RODGERS MARIANNE,220
1024,HOWARD THE DUCK,219
6377,MESMERO,219
1668,BLESSING MORGANA,219
2728,VINDICATOR II DOPPEL,217
558,FU MANCHU,217
2856,GAEA,216
3765,LANG DR. STEVEN,216
4259,JOYBOY,216
5043,PUCK DOPPELGANGER II,216
6364,ELEKTRA | MUTANT X-V,215
549,BRAINCHILD,215
4425,ELEKTRA/ELEKTRA NATC,215
4422,DRUMM JERICHO,215
90,FALLEN | MUTANT X-VE,215
1729,SHARD,215
5031,CRUCIBLE/BYRON CALLE,215
3385,SILVERCLAW/LA GARRA,214
5075,RECORDER II,214
1834,CAPTAIN AMERICA | MU,214
1916,SAGITTARIUS/HARLAN V,214
5546,TYPHOID MARY/MARY ME,213
3625,CAMPBELL DR. RORY,213
2236,U-MAN/MERRANO,213
208,CHANG DR. PHILLIP,212
2430,WILSON JIM,212
1755,COACHWHIP,212
4778,SLITHER,212
160,SHARPE ROSALINDE,211
3527,CARNAGE/CLETUS KASAD,211
1565,TITAN,211
5285,CREED GRAYDON,211
2881,MACON ANGELO,211
2802,MAGNETO | MUTANT X-V,210
4679,ELYSIUS,208
4918,TASKMASTER,208
6159,SPIDERCIDE,208
1871,AHAB/RORY CAMPBELL,208
3157,DINAH-SOAR,207
1109,SPIDER-MAN III/MARTH,207
1619,MALICE V/NAKIA,207
755,FLATMAN,207
3221,MR. IMMORTAL,207
5120,DOORMAN,207
202,LEONUS/LIONUS [INHUM,206
1719,LEWIS DEVON,206
480,PEREGRINE LE/FRANCK,206
1421,BLITZIANA,206
1423,BUZZ,206
4442,PIXIE/ [ETERNAL],205
5236,HUXLEY DR. ALDA,205
3168,FLYING TIGER,205
2926,EITRI,205
1433,DR. OCTOPUS II/CAROL,204
1597,TSURAYABA MATSUO,204
4915,PLAGUE,203
511,EARTHQUAKE,202
240,AMPHIBIAN/KINGLEY RI,202
3801,STACY PAUL,202
4776,STILT-MAN/WILBUR DAY,202
5607,TYGER TIGER/JESSAN H,201
4559,BOUDREAUX BELLA DON,201
5001,ANAK,201
5107,KANE MARCY/KAINA,201
3928,ZOLA ARNIM,201
3760,UMAR,200
6108,BARBARUS,200
2687,BOWEN FATHER MICHAE,200
6356,GRANT SILAS,200
3488,MAYHEM/DET. BRIGID O,200
3574,AURIC/,200
5322,MOONHUNTER/ZACK MOON,199
2117,WHYTE HARMONY (HARM,199
2431,STALLIOR,199
6242,POWELL GRACE,199
4217,OKOYE,199
3724,HUSSAR,199
6259,BEAST DOPPELGANGER I,198
2789,KOFI [KYMELLIAN],198
5523,KINGO SUNEN [ETERNAL,197
3327,LOBO EDUARDO,197
1305,TYR,197
4107,ASTRA,197
536,LELAND HARRY,196
447,HOPKINS STEVE,195
3448,BLACK RACER/,195
810,MORDRED THE EVIL,195
4225,FOXBAT,195
4886,VAN HELSING RACHEL,195
4917,SIMON ALEX FLORES,195
1264,ERWIN MORLEY,194
4840,METEORITE,194
1446,WEAPON X II/GARRISON,194
5848,FREE SPIRIT/CATHY WE,194
3996,YELLOW CLAW/TZING JA,194
4673,PARALYZER,194
3338,MANGOG,194
2354,ARKON,193
4321,BLASTAAR,193
4353,ALVAREZ FELIX,193
5680,BLADE,193
723,INFINITY II,192
5673,DELILAH,192
694,GAMBIT | MUTANT X-VE,192
5718,ERISHKIGEL II/HOLLY,192
479,NALES DET. REBECCA,191
4574,STUART BRIG. ALYSAN,191
4269,KRAMER STACEY,191
5706,FISK VANESSA,190
2691,MULTIPLE MAN DOPPELG,190
1099,MOREAU DAVID,190
2048,DARKHAWK DOPPELGANGE,190
1000,SASQUATCH II,190
5118,KILLMONGER ERIC/N'J,189
3491,SHOCKWAVE/LANCASTER,189
4406,FITZROY TREVOR,189
1366,KHORYPHOS [ETERNAL],189
874,REAGAN RONALD,189
1458,TAURUS/CORNELIUS VAN,189
5791,SONDHEIM ERICA,188
3192,LUPO,188
3932,PSYCHO-MAN,188
1097,ADVERSARY,188
4153,UNION JACK II/BRIAN,188
5291,PAIBOK CAPT. [SKRUL,188
5820,MISS LOCKE,187
2264,TAGAR,187
2157,SCRAMBLER,187
5866,THOR III DOPPELGANGE,187
5559,TWO-GUN KID,187
179,PSYNAPSE,187
4179,ERWIN CLYTEMNESTRA,186
2436,DEATH ADDER,186
3324,MASTER KHAN/TYRONE K,186
1852,MARTIN TERI,186
2399,WALDO,186
1260,PRETTY BOY,186
3771,POSITRON/RONNIE,186
627,MENTALLO,186
4508,BLAZE ROXANNE SIMPS,185
483,EGGHEAD/PROF. ELIHAS,185
3116,AVIA,185
5228,OGRE,185
3905,GAZA,185
4613,MARVEL WOMAN | MUTAN,184
3626,COY GENERAL NGUYEN,184
2308,DEVOS THE DEVESTATOR,184
2475,NEZARR,184
3638,ARAKI [SHI'AR],183
2015,DEATHURGE,182
4709,GENII/JASON KIMBALL,181
2191,MASTER MAN/WILHELM L,181
1732,SUPER-ADAPTOID/ALESS,181
6021,RANDI,180
2370,NUMBERS,180
2314,COPPERHEAD III/DAVIS,180
6411,CANDY,180
1582,HELIX/RAFAEL CARAGO,180
1760,ZARAN/MAXIMILLIAN ZA,180
5166,ZALADANE,180
3912,BAMBI,180
5206,WHITEOUT,180
